index;filename;m_timestamp;total_coverage;current_coverage;total_coverage_own_finds
;id_2_7_002046;2019-10-29 22:19:59.786613;0 days 08:02:27.518210;4373;2138;182
;id_2_10_002553_cov;2019-10-30 00:33:55.066751;0 days 10:16:22.798348;4385;1677;478
;id:000931,src:000000,op:flip4,pos:1465,+cov;2019-10-29 13:44:34.657858;0.0;4385;2329;4
;id:000068,src:000000,op:flip1,pos:350;2019-10-29 13:44:34.657858;0.0;4385;2324;0
;id_1_6_001594;2019-10-29 17:30:02.295009;0 days 03:12:30.026606;4388;2270;213
;id:000598,src:000000,op:flip1,pos:6558;2019-10-29 13:44:34.657858;0.0;4388;2345;20
;id:000661,src:000000,op:flip1,pos:6764;2019-10-29 13:44:34.657858;0.0;4388;2325;0
;id:000022,src:000000,op:flip1,pos:32,+cov;2019-10-29 13:44:34.657858;0.0;4388;511;93
;id_3_9_003252;2019-10-30 08:38:13.927679;0 days 18:20:41.659276;4397;1751;539
;id_3_7_002886_cov;2019-10-30 05:56:52.991401;0 days 15:39:20.722998;4412;355;53
;id_1_4_001837;2019-10-29 18:40:05.211303;0 days 04:22:32.942900;4415;663;80
;id_1_001086;2019-10-29 16:27:46.166126;0 days 02:10:13.897723;4417;606;122
;id_2_12_002585;2019-10-30 00:46:52.067381;0 days 10:29:19.798978;4420;1811;591
;id_1_10_001415;2019-10-29 17:01:49.990949;0 days 02:44:17.722546;4428;2377;177
;id_1_5_001322;2019-10-29 16:42:41.785725;0 days 02:25:09.517322;4432;2117;96
;id_2_8_002142;2019-10-29 22:54:12.619498;0 days 08:36:40.351095;4432;731;229
;id_2_9_002301;2019-10-29 23:15:29.455393;0 days 08:57:57.186990;4435;1709;504
;id:000043,src:000000,op:flip1,pos:121;2019-10-29 13:44:34.657858;0.0;4435;2327;2
;id_1_10_001191;2019-10-29 16:30:35.228542;0 days 02:13:02.960139;4440;2311;197
;id_1_001099;2019-10-29 16:27:58.438011;0 days 02:10:26.169608;4453;2449;307
;id:001053,src:000000,op:arith8,pos:1702,val:-15,+cov;2019-10-29 13:44:34.657858;0.0;4453;2350;25
;id_0_4_000416;2019-10-29 14:22:14.189822;0 days 00:04:41.921419;4453;2399;77
;id_2_10_002429;2019-10-29 23:34:08.664792;0 days 09:16:36.396389;4472;2217;254
;id_1_8_001510_cov;2019-10-29 17:13:12.464535;0 days 02:55:40.196132;4478;739;112
;id_2_7_002215_cov;2019-10-29 23:05:01.509333;0 days 08:47:29.240930;4478;1638;472
;id_3_10_002734;2019-10-30 02:34:20.838356;0 days 12:16:48.569953;4480;2349;229
;id_0_11_000992;2019-10-29 15:10:53.393661;0 days 00:53:21.125258;4480;713;51
;id_3_11_003001;2019-10-30 07:02:59.309774;0 days 16:45:27.041371;4483;1771;559
;id_2_7_002488;2019-10-30 00:12:43.014817;0 days 09:55:10.746414;4483;761;111
;id_0_7_000900;2019-10-29 14:48:39.051250;0 days 00:31:06.782847;4483;2402;180
;id_0_7_000793;2019-10-29 14:47:52.531678;0 days 00:30:20.263275;4483;844;313
;id:000703,src:000000,op:flip1,pos:7044;2019-10-29 13:44:34.657858;0.0;4483;2326;1
;id_1_8_001159;2019-10-29 16:29:24.437205;0 days 02:11:52.168802;4483;1836;181
;id:000346,src:000000,op:flip1,pos:4853;2019-10-29 13:44:34.657858;0.0;4483;2337;20
;id_0_2_000954;2019-10-29 15:01:16.599769;0 days 00:43:44.331366;4483;2407;85
;id:000620,src:000000,op:flip1,pos:6604;2019-10-29 13:44:34.657858;0.0;4485;2330;6
;id:001144,src:000000,op:arith8,pos:6677,val:+27;2019-10-29 13:44:34.657858;0.0;4486;2351;26
;id_0_2_000343;2019-10-29 14:20:30.134776;0 days 00:02:57.866373;4486;2406;90
;id_3_7_002896;2019-10-30 06:05:16.070610;0 days 15:47:43.802207;4486;1636;474
;id:000923,src:000000,op:flip4,pos:628;2019-10-29 13:44:34.657858;0.0;4486;2321;3
;id:001310,src:000000,op:int32,pos:6605,val:+100663045;2019-10-29 13:44:34.657858;0.0;4486;2053;16
;id:000709,src:000000,op:flip1,pos:7124;2019-10-29 13:44:34.657858;0.0;4486;2326;3
;id_3_002842;2019-10-30 05:14:08.795853;0 days 14:56:36.527450;4500;2477;203
;id_1_8_001156;2019-10-29 16:29:24.285207;0 days 02:11:52.016804;4500;1835;187
;id_0_000095;2019-10-29 14:15:52.793312;0.0;4512;337;31
;id_1_12_001210;2019-10-29 16:32:05.875691;0 days 02:14:33.607288;4513;786;270
;id_2_6_002272;2019-10-29 23:15:17.579505;0 days 08:57:45.311102;4514;1721;498
;id:001126,src:000000,op:arith8,pos:6524,val:-20;2019-10-29 13:44:34.657858;0.0;4523;2387;86
;id:000978,src:000000,op:flip16,pos:6359;2019-10-29 13:44:34.657858;0.0;4523;2312;9
;id:001202,src:000000,op:arith8,pos:7201,val:-13;2019-10-29 13:44:34.657858;0.0;4524;937;43
;id_0_2_000111;2019-10-29 14:16:06.145190;0.0;4524;2398;78
;id_3_8_002960_cov;2019-10-30 06:26:23.682574;0 days 16:08:51.414171;4534;638;218
;id_1_9_001185;2019-10-29 16:30:25.372634;0 days 02:12:53.104231;4535;2174;204
;id:000510,src:000000,op:flip1,pos:6365;2019-10-29 13:44:34.657858;0.0;4535;2350;27
;id:000465,src:000000,op:flip1,pos:6320;2019-10-29 13:44:34.657858;0.0;4538;2365;43
;id:000815,src:000000,op:flip2,pos:4590,+cov;2019-10-29 13:44:34.657858;0.0;4542;2329;4
;id_1_7_001080;2019-10-29 16:05:58.378154;0 days 01:48:26.109751;4542;1894;122
;id_3_3_003046;2019-10-30 07:26:01.572682;0 days 17:08:29.304279;4543;1729;541
;id_1_001724;2019-10-29 17:46:24.125767;0 days 03:28:51.857364;4543;1552;425
;id_0_8_000493;2019-10-29 14:26:11.279646;0 days 00:08:39.011243;4547;655;86
;id_1_3_001331;2019-10-29 16:44:22.500782;0 days 02:26:50.232379;4547;1934;219
;id_0_7_000868;2019-10-29 14:48:18.299441;0 days 00:30:46.031038;4548;2443;191
;id_1_9_001782;2019-10-29 18:15:04.945545;0 days 03:57:32.677142;4551;1009;83
;id_0_10_000147;2019-10-29 14:16:23.369033;0.0;4551;698;41
;id_1_6_001285;2019-10-29 16:40:55.158723;0 days 02:23:22.890320;4567;2136;272
;id:001069,src:000000,op:arith8,pos:6164,val:-31;2019-10-29 13:44:34.657858;0.0;4567;2320;0
;id:000671,src:000000,op:flip1,pos:6841;2019-10-29 13:44:34.657858;0.0;4567;2316;4
;id:000743,src:000000,op:flip1,pos:7228;2019-10-29 13:44:34.657858;0.0;4567;786;35
;id_1_10_001677;2019-10-29 17:46:16.989834;0 days 03:28:44.721431;4567;1009;236
;id:001242,src:000000,op:arith32,pos:6997,val:-32,+cov;2019-10-29 13:44:34.657858;0.0;4569;2332;7
;id_3_10_003350;2019-10-30 10:15:44.596510;0 days 19:58:12.328107;4570;1761;553
;id_3_10_002763;2019-10-30 03:37:21.150693;0 days 13:19:48.882290;4570;2205;154
;id_0_7_000892;2019-10-29 14:48:38.103259;0 days 00:31:05.834856;4570;2406;186
;id_0_2_000408;2019-10-29 14:21:44.650093;0 days 00:04:12.381690;4570;2409;84
;id_0_8_000809_cov;2019-10-29 14:47:52.751677;0 days 00:30:20.483274;4574;620;206
;id_0_7_000562;2019-10-29 14:31:10.528897;0 days 00:13:38.260494;4575;1457;86
;id_3_10_002817;2019-10-30 05:00:25.355670;0 days 14:42:53.087267;4576;2238;238
;id_2_2_002428;2019-10-29 23:32:18.117849;0 days 09:14:45.849446;4600;745;102
;id:001060,src:000000,op:arith8,pos:4606,val:+14;2019-10-29 13:44:34.657858;0.0;4600;938;43
;id_2_10_002146;2019-10-29 22:54:15.151474;0 days 08:36:42.883071;4600;731;229
;id_0_2_000521;2019-10-29 14:28:30.794365;0 days 00:10:58.525962;4602;1867;23
;id:000840,src:000000,op:flip2,pos:6405;2019-10-29 13:44:34.657858;0.0;4604;2391;79
;id_2_5_002432;2019-10-29 23:35:05.124253;0 days 09:17:32.855850;4604;1745;510
;id:001063,src:000000,op:arith8,pos:6093,val:+23,+cov;2019-10-29 13:44:34.657858;0.0;4606;2326;2
;id_0_4_000414;2019-10-29 14:22:14.121823;0 days 00:04:41.853420;4606;2354;31
;id_2_10_002360;2019-10-29 23:25:33.805687;0 days 09:08:01.537284;4608;2452;373
;id_3_10_002811;2019-10-30 04:57:50.429133;0 days 14:40:18.160730;4615;2322;245
;id_2_4_002106;2019-10-29 22:45:53.604184;0 days 08:28:21.335781;4619;745;79
;id_3_10_002818;2019-10-30 05:04:30.117360;0 days 14:46:57.848957;4620;1824;207
;id_0_2_000011;2019-10-29 14:15:28.373535;0.0;4620;2414;89
;id:001122,src:000000,op:arith8,pos:6485,val:+25;2019-10-29 13:44:34.657858;0.0;4620;2394;70
;id:000225,src:000000,op:flip1,pos:960,+cov;2019-10-29 13:44:34.657858;0.0;4620;2331;6
;id_2_7_001973;2019-10-29 20:56:42.078018;0 days 06:39:09.809615;4620;2168;163
;id_3_9_002922;2019-10-30 06:05:59.482197;0 days 15:48:27.213794;4620;1700;514
;id_0_6_000827;2019-10-29 14:48:14.287478;0 days 00:30:42.019075;4620;2037;62
;id_2_2_002504;2019-10-30 00:23:45.828524;0 days 10:06:13.560121;4622;825;117
;id_2_12_002529_cov;2019-10-30 00:29:55.653019;0 days 10:12:23.384616;4623;1680;508
;id_0_5_000171_cov;2019-10-29 14:16:33.736938;0.0;4623;2278;73
;id:000243,src:000000,op:flip1,pos:1072;2019-10-29 13:44:34.657858;0.0;4623;2342;17
;id_0_2_000131;2019-10-29 14:16:08.085172;0.0;4623;2410;91
;id_1_0_001422;2019-10-29 17:05:42.400765;0 days 02:48:10.132362;4623;2443;307
;id_2_8_002699;2019-10-30 02:11:07.899567;0 days 11:53:35.631164;4623;2267;225
;id_2_9_002379;2019-10-29 23:28:00.036308;0 days 09:10:27.767905;4623;1724;503
;id:000140,src:000000,op:flip1,pos:597;2019-10-29 13:44:34.657858;0.0;4623;2320;0
;id:000296,src:000000,op:flip1,pos:4341,+cov;2019-10-29 13:44:34.657858;0.0;4623;2325;0
;id:001049,src:000000,op:arith8,pos:1522,val:-23;2019-10-29 13:44:34.657858;0.0;4623;2329;4
;id_0_5_000980;2019-10-29 15:09:44.502362;0 days 00:52:12.233959;4624;647;87
;id_1_8_001402;2019-10-29 16:57:15.957524;0 days 02:39:43.689121;4626;2168;168
;id_3_8_002766;2019-10-30 03:47:08.101186;0 days 13:29:35.832783;4628;1859;208
;id_0_7_000726;2019-10-29 14:47:52.439679;0 days 00:30:20.171276;4628;833;303
;id_4_11_003361_cov;2019-10-30 10:36:42.028731;0 days 20:19:09.760328;4636;1696;561
;id:000925,src:000000,op:flip4,pos:845;2019-10-29 13:44:34.657858;0.0;4636;2325;0
;id_4_7_003430;2019-10-30 13:08:06.364748;0 days 22:50:34.096345;4638;659;75
;id:000732,src:000000,op:flip1,pos:7204;2019-10-29 13:44:34.657858;0.0;4639;2322;8
;id_2_10_002694;2019-10-30 02:07:08.401829;0 days 11:49:36.133426;4642;1885;250
;id_1_10_001894;2019-10-29 19:12:08.289197;0 days 04:54:36.020794;4645;2223;255
