,filename,m_timestamp,total_coverage,current_coverage,total_coverage_own_finds,running_s
2074,id_3_12_001248_cov,2019-10-30 19:34:12.761093632,4816,557,3442,19396.0
2075,id_3_12_001249,2019-10-30 19:34:12.849092608,4816,558,3442,19396.0
2076,id_3_12_001266_cov,2019-10-30 19:41:05.793194752,4817,539,3443,19809.0
2077,id_3_1_001155,2019-10-30 18:53:56.879895040,4817,549,3443,16980.0
2078,id_3_1_001173,2019-10-30 19:01:09.931808256,4817,1773,3443,17413.0
2079,id_3_1_001195,2019-10-30 19:07:52.476006144,4817,548,3443,17816.0
2080,id_3_1_001196,2019-10-30 19:07:52.476006144,4817,548,3443,17816.0
2081,id_3_2_001120,2019-10-30 18:03:40.104336640,4817,1644,3443,13964.0
2082,id_3_2_001121,2019-10-30 18:08:08.189801728,4817,771,3443,14232.0
2083,id_3_2_001123_cov,2019-10-30 18:18:05.752155392,4817,598,3443,14829.0
2084,id_3_2_001148,2019-10-30 18:52:58.104449280,4817,998,3443,16922.0
2085,id_3_2_001166,2019-10-30 18:56:56.714199296,4817,851,3443,17160.0
2086,id_3_2_001169,2019-10-30 18:57:46.909725952,4817,939,3443,17210.0
2087,id_3_2_001204,2019-10-30 19:11:17.022074880,4817,1706,3443,18020.0
2088,id_3_3_001122,2019-10-30 18:16:04.273303040,4817,805,3443,14708.0
2089,id_3_3_001132,2019-10-30 18:44:35.809184256,4817,806,3443,16419.0
2090,id_3_3_001179,2019-10-30 19:02:08.095258624,4817,859,3443,17472.0
2091,id_3_3_001180,2019-10-30 19:02:13.995202816,4817,845,3443,17477.0
2092,id_3_3_001224_cov,2019-10-30 19:21:29.548294656,4819,779,3445,18633.0
2093,id_3_3_001228,2019-10-30 19:25:00.522304000,4819,1681,3445,18844.0
2094,id_3_3_001229,2019-10-30 19:25:00.530304256,4819,1681,3445,18844.0
2095,id_3_3_001258,2019-10-30 19:39:07.086315264,4819,525,3445,19691.0
2096,id_3_3_001267,2019-10-30 19:41:52.948749824,4819,889,3445,19856.0
2097,id_3_3_001270,2019-10-30 19:42:11.256577024,4819,1496,3445,19875.0
2098,id_3_3_001271,2019-10-30 19:42:11.300576768,4819,1520,3445,19875.0
2099,id_3_3_001272,2019-10-30 19:42:11.316576512,4819,1507,3445,19875.0
2100,id_3_4_001133,2019-10-30 18:44:42.105124864,4819,1473,3445,16426.0
2101,id_3_4_001140,2019-10-30 18:49:21.546490880,4819,1441,3445,16705.0
2102,id_3_4_001167,2019-10-30 18:56:57.114195712,4819,754,3445,17161.0
2103,id_3_4_001206_cov,2019-10-30 19:13:00.977093888,4821,499,3447,18124.0
2104,id_3_4_001207_cov,2019-10-30 19:13:00.977093888,4823,495,3449,18124.0
2105,id_3_4_001208_cov,2019-10-30 19:13:00.989093888,4828,503,3454,18124.0
2106,id_3_4_001222_cov,2019-10-30 19:20:34.988809472,4830,576,3456,18578.0
2107,id_3_4_001231_cov,2019-10-30 19:25:47.137864448,4830,916,3456,18891.0
2108,id_3_5_001137,2019-10-30 18:46:01.396377600,4830,802,3456,16505.0
2109,id_3_5_001143,2019-10-30 18:51:01.181551616,4830,1443,3456,16805.0
2110,id_3_5_001211,2019-10-30 19:15:15.459824640,4830,1344,3456,18259.0
2111,id_3_5_001212,2019-10-30 19:16:27.587143936,4830,937,3456,18331.0
2112,id_3_5_001215,2019-10-30 19:17:37.894480384,4830,846,3456,18401.0
2113,id_3_5_001234,2019-10-30 19:28:18.324437760,4830,1106,3456,19042.0
2114,id_3_5_001238_cov,2019-10-30 19:31:53.490407936,4833,584,3459,19257.0
2115,id_3_5_001239_cov,2019-10-30 19:31:53.490407936,4835,587,3461,19257.0
2116,id_3_5_001240_cov,2019-10-30 19:31:53.494407936,4836,585,3462,19257.0
2117,id_3_5_001241,2019-10-30 19:31:53.494407936,4836,585,3462,19257.0
2118,id_3_5_001251,2019-10-30 19:36:25.955836160,4836,931,3462,19529.0
2119,id_3_5_001254,2019-10-30 19:37:57.130975488,4836,945,3462,19621.0
2120,id_3_5_001261,2019-10-30 19:40:03.245785344,4836,770,3462,19747.0
2121,id_3_5_001262_cov,2019-10-30 19:40:03.249785088,4836,783,3462,19747.0
2122,id_3_6_001126_cov,2019-10-30 18:30:18.545254912,4836,988,3462,15562.0
2123,id_3_6_001141,2019-10-30 18:49:58.166145792,4836,778,3462,16742.0
2124,id_3_6_001144,2019-10-30 18:51:01.269550848,4836,1463,3462,16805.0
2125,id_3_6_001152_cov,2019-10-30 18:53:39.904055040,4836,907,3462,16963.0
2126,id_3_6_001153,2019-10-30 18:53:40.088053504,4836,945,3462,16964.0
2127,id_3_6_001181,2019-10-30 19:02:14.479198208,4836,892,3462,17478.0
2128,id_3_6_001189,2019-10-30 19:04:25.525960192,4836,974,3462,17609.0
2129,id_3_6_001190,2019-10-30 19:04:30.737911040,4836,975,3462,17614.0
2130,id_3_6_001202,2019-10-30 19:10:37.510447872,4836,799,3462,17981.0
2131,id_3_6_001220,2019-10-30 19:19:23.577483520,4836,689,3462,18507.0
2132,id_3_6_001230,2019-10-30 19:25:44.681887744,4836,874,3462,18888.0
2133,id_3_6_001253,2019-10-30 19:37:36.987165696,4836,604,3462,19600.0
2134,id_3_6_001255,2019-10-30 19:38:03.346916864,4836,909,3462,19627.0
2135,id_3_7_001128_cov,2019-10-30 18:39:30.628059904,4837,1099,3463,16114.0
2136,id_3_7_001145,2019-10-30 18:51:04.665518848,4837,904,3463,16808.0
2137,id_3_7_001154,2019-10-30 18:53:46.047997184,4837,897,3463,16970.0
2138,id_3_7_001197,2019-10-30 19:07:53.811993344,4837,548,3463,17817.0
2139,id_3_7_001198,2019-10-30 19:07:53.811993344,4837,548,3463,17817.0
2140,id_3_7_001199,2019-10-30 19:07:53.811993344,4837,548,3463,17817.0
2141,id_3_7_001213_cov,2019-10-30 19:17:29.318561536,4837,802,3463,18393.0
2142,id_3_7_001214_cov,2019-10-30 19:17:29.318561536,4838,803,3464,18393.0
2143,id_3_7_001221,2019-10-30 19:19:32.513399040,4838,1388,3464,18516.0
2144,id_3_7_001242,2019-10-30 19:31:53.842404608,4838,585,3464,19257.0
2145,id_3_7_001243,2019-10-30 19:31:53.842404608,4838,585,3464,19257.0
2146,id_3_7_001244,2019-10-30 19:31:53.842404608,4838,585,3464,19257.0
2147,id_3_7_001245,2019-10-30 19:31:53.842404608,4838,585,3464,19257.0
2148,id_3_7_001246,2019-10-30 19:31:53.842404608,4838,585,3464,19257.0
2149,id_3_7_001247,2019-10-30 19:32:57.693802240,4838,1070,3464,19321.0
2150,id_3_7_001252,2019-10-30 19:37:03.803479040,4838,784,3464,19567.0
2151,id_3_7_001263_cov,2019-10-30 19:40:58.901259776,4839,804,3465,19802.0
2152,id_3_7_001264,2019-10-30 19:40:58.901259776,4839,938,3465,19802.0
2153,id_3_8_001130,2019-10-30 18:41:51.354733824,4839,891,3465,16255.0
2154,id_3_8_001138,2019-10-30 18:47:30.447538432,4839,784,3465,16594.0
